Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-4-5;15:43:52;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:52;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:53;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:53;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:54;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:54;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:55;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:55;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:56;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:56;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:57;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:57;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:58;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:58;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:59;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:43:59;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:0;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:0;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:1;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:1;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:2;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:2;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:3;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:3;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:44:4;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
