Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-3-13;9:9:40;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:41;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:41;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:42;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:42;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:43;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:43;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:44;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:44;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:45;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:45;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:46;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:46;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:47;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:47;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:48;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:48;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:49;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:49;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:50;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:50;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:51;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:51;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:52;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:52;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:53;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:53;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:54;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:54;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:55;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:55;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:56;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:56;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:57;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:57;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:58;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:58;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:59;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:9:59;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:0;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:0;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:1;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:1;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:2;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:2;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:3;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:3;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:4;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:4;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:5;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:5;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:6;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:6;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:7;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:7;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:8;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:8;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:9;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:9;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:10;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:10;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:11;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:11;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:12;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:12;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:13;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:13;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:14;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:14;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;9:10:15;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
